Date,stocktotal,stockgasoline,stockdistilled,pricegasoline,pricedistilled,consgasoline,consdistilled,gdp
"Jan 19, 2001",200703,155689,116151,63462,64176,55258,26236,10508.1
"Jan 26, 2001",205882,160143,114469,63000,64638,51366,29225,10508.1
"Feb 02, 2001",203783,156497,115339,62286,63840,60123,27006,10508.1
"Feb 09, 2001",202920,156505,116147,63630,63756,56224,28567,10508.1
"Feb 16, 2001",204595,156113,117706,62538,62160,54950,27181,10508.1
"Feb 23, 2001",204546,156158,116611,61782,60942,57309,28259,10508.1
"Mar 02, 2001",203021,153194,115644,61194,59640,59423,29022,10508.1
"Mar 09, 2001",201582,152358,114313,61026,59052,58975,27692,10508.1
"Mar 16, 2001",198193,148741,110693,60648,58464,59388,30205,10508.1
"Mar 23, 2001",196272,146768,107898,60690,57918,59325,28070,10508.1
"Mar 30, 2001",193035,143466,104013,62244,58422,59549,28910,10508.1
"Apr 06, 2001",193855,144205,101930,64680,58674,58142,25529,10638.4
"Apr 13, 2001",192831,144701,102333,67620,60354,59066,24514,10638.4
"Apr 20, 2001",193913,146114,101710,69636,60606,60956,27888,10638.4
"Apr 27, 2001",198975,149066,102750,69930,60564,58828,24962,10638.4
